STN Code,Dissolved Oxygen,Location Name,State Name,Year,pH,Conductivity,BOD,Nitrate N + Nitrite N,Fecal Coliform,Total Coliform,WQI,lat,lon
1790,6.0,PULICATE LAKE,ANDHRA PRADESH,2017,7.8,79935.0,1.65,3.7750000000000004,2.0,1200.0,88.27792329366638,13.69533305,80.05929292562215
2353,6.35,KONDACHARLA-AAVA LAKE,ANDHRA PRADESH,2017,7.65,815.5,1.7999999999999998,2.26,20.0,1375.0,68.08047825569876,17.60320265,83.00084455498865
2205,4.7,MER BEEL AT MADHABPUR,ASSAM,2017,6.35,89.0,8.6,0.9,1150.0,3380.0,138.7902364463741,26.4073841,93.2551303
2206,5.55,DALONI BEEL NEAR JOGIGHOPA,ASSAM,2017,7.199999999999999,103.5,1.8499999999999999,0.75,750.0,2800.0,80.70902152740743,26.4073841,93.2551303
2557,6.7,KAWAR LAKE,BIHAR,2017,7.550000000000001,273.5,2.45,0.0,16500.0,26500.0,440.3153674735619,25.5125411,86.08833919362361
2571,7.050000000000001,MOTI JHEEL AT MOTIHARII,BIHAR,2017,7.5,732.5,2.45,0.0,8050.0,13550.0,247.9984075181369,25.6440845,85.906508
1549,7.2,SALAULIM LAKE AT SALAULIM - SANGUEM,GOA,2017,6.949999999999999,189.5,0.75,0.08,3954.0,6501.0,130.36469339086048,15.3004543,74.0855134
2269,6.6000000000000005,MAYEM LAKE,GOA,2017,6.300000000000001,57.5,1.35,0.415,2560.0,4730.0,96.04625478438074,15.5765136,73.9410291
3175,7.6,ANJUNEM LAKE,GOA,2017,7.050000000000001,71.5,1.2,0.215,69.0,271.0,46.79321285596017,15.3004543,74.0855134
3176,4.7,RUMDER LAKE,GOA,2017,7.15,211.0,3.3,1.23,4340.0,6050.0,177.00926753485672,15.3004543,74.0855134
3177,5.65,CARAMBOLIM LAKE,GOA,2017,7.050000000000001,149.0,3.05,0.62,4005.0,11070.0,162.10704944647364,15.3004543,74.0855134
3178,6.949999999999999,RAIA LAKE,GOA,2017,6.8,244.5,5.45,0.095,12100.0,17725.0,353.3399046736419,15.3004543,74.0855134
3179,3.9,SAIPEM LAKE,GOA,2017,7.1,334.5,6.55,5.785,44500.0,73000.0,1112.8535029849447,15.3004543,74.0855134
3180,6.25,CURTORIM LAKE,GOA,2017,6.15,336.0,5.65,0.74,4015.0,6615.0,165.9045073450411,15.2890843,74.01932923877243
1343,7.9,KANKORIA LAKE AT AHMEDABAD,GUJARAT,2017,8.75,2893.5,58.5,0.3,28.5,294.0,581.8259470830858,22.3850051,71.745261
1344,5.35,CHANDOLA LAKE AT AHMEDABAD,GUJARAT,2017,8.15,446.0,18.0,0.3,49.5,299.0,225.09301379092332,22.3850051,71.745261
1345,8.25,AJWAH LAKE AT SRI SAYAJI SABVAR,GUJARAT,2017,7.85,286.5,0.55,0.47000000000000003,3.0,12.5,50.35554600356421,22.2973142,73.1942567
1346,3.55,SURSAGAR LAKE AT BARODA,GUJARAT,2017,7.35,3175.0,1.65,0.5900000000000001,15.0,37.0,74.94904918905199,22.3850051,71.745261
1972,7.15,NALSAROVAR LAKE (SANAND),GUJARAT,2017,8.55,13439.0,55.0,0.245,22.5,65.5,553.1247070082128,22.3850051,71.745261
1975,5.65,LAKHOTA TALAV,GUJARAT,2017,7.7,640.0,7.45,0.195,5.5,13.0,121.44363369909004,22.4732415,70.0552102
1976,19.9,NARSIMEHTA TALAV- JUNAGADH,GUJARAT,2017,7.35,1170.0,55.55,0.18,7.5,18.0,472.76072253302874,22.3850051,71.745261
1977,5.6,CITY LAKE OF NADIAD,GUJARAT,2017,9.15,8070.0,44.45,4.22,15.0,42.0,476.68112568436135,22.3850051,71.745261
1978,5.65,RANJITNAGAR TALAV (HALOL),GUJARAT,2017,8.1,123.0,0.75,0.28,4.0,16.0,68.93962742482225,22.3850051,71.745261
2075,7.199999999999999,DHAROI DAM,GUJARAT,2017,7.9,338.0,2.1,0.06,4.5,17.5,69.99655506768428,23.9853888,72.9135468
2076,7.45,ANKLESHWAR RESERVOIR AT GIDC ANKLESHWAR AT VALIA ROAD.,GUJARAT,2017,8.3,999.5,1.1,0.165,15.5,37.5,67.29026759690625,22.3850051,71.745261
2077,6.75,MOTICHER LAKE NEAR KAKARPAR ATOMIC POWER STATION,GUJARAT,2017,7.75,388.0,1.45,0.46,45.5,79.0,64.77976620610276,22.3850051,71.745261
2078,6.7,KUWADAVA LAKE,GUJARAT,2017,7.5,699.5,2.95,0.085,7.0,14.0,73.12076874384395,22.3850051,71.745261
3200,5.1,MOONSAR LAKE OF VIRAMGAM,GUJARAT,2017,8.75,7017.0,72.5,0.355,27.0,131.5,720.0756028829825,22.3850051,71.745261
3201,5.55,MALAV TALAV,GUJARAT,2017,8.85,2728.0,37.0,0.265,16.0,98.0,404.186367708204,22.72670285,72.43542706979838
3202,3.6500000000000004,VHERAIMATA TALAV AT ANAND,GUJARAT,2017,8.05,729.0,4.6,0.29,9.5,30.5,112.0344202514235,22.3850051,71.745261
1291,8.8,GOBINDSAGAR LAKE AT BILASPUR,HIMACHAL PRADESH,2017,8.0,374.0,0.30000000000000004,0.53,73.5,570.0,49.809550440104324,30.90351215,74.9441870511005
1292,7.4,PONGDAM LAKE AT PONG VILLAGE,HIMACHAL PRADESH,2017,7.9,262.0,0.45,0.745,9.0,225.0,54.631922552426246,30.90351215,74.9441870511005
1429,6.5,RENUKA LAKE,HIMACHAL PRADESH,2017,7.2,802.5,1.9,0.495,56.0,48.0,60.740613931708644,30.609078,77.46155437163742
2649,7.15,RIWALSAR LAKE,HIMACHAL PRADESH,2017,7.699999999999999,239.0,12.0,0.895,152.0,1070.0,157.96813100021572,31.9292352,77.1828462
2650,6.1,KHAZIAR LAKE,HIMACHAL PRADESH,2017,7.25,101.0,5.4,0.765,27.5,745.0,93.91305127637523,31.9292352,77.1828462
1388,7.0,ULSOOR LAKE TRAINING CENTRE OF FISH BREEDING,KARNATAKA,2017,8.350000000000001,538.0,5.5,1.275,39665.0,271545.0,1046.8320313626743,14.5203896,75.7223521
1446,5.2,HEBALLA VALLEY LAKE AT D-S ROAD BRIDGE NR. MANDYA,KARNATAKA,2017,8.0,1046.0,3.85,3.02,1015.0,4200.0,120.61376586594844,14.5203896,75.7223521
3582,3.9,HEBBAL LAKE,KARNATAKA,2017,7.8,1871.5,15.65,0.74,1850.0,5850.0,246.62900810850167,13.04720245,77.5867146856506
3583,6.35,KUKKARAHALLI LAKE,KARNATAKA,2017,8.45,738.0,6.5,0.44000000000000006,1310.0,5450.0,152.80494364115478,12.30872155,76.63734513324133
3584,2.1500000000000004,DALAVAI LAKE,KARNATAKA,2017,7.8,964.0,17.2,2.165,3000.0,7350.0,294.505615578676,14.5203896,75.7223521
3585,2.3,YENNEHOLE LAKE,KARNATAKA,2017,7.9,987.0,17.6,1.92,2200.0,7350.0,281.33461182579856,14.5203896,75.7223521
1383,5.3,ORUVATHILKOTTA LAKE,KERALA,2017,6.75,560.0,8.5,0.6,925.0,2370.0,136.8299178850172,10.3528744,76.5120396
1385,5.699999999999999,SASTHAMCOTTA LAKE,KERALA,2017,6.7,137.0,1.8,0.74,120.0,300.0,56.37720727863137,10.3528744,76.5120396
1441,6.25,ASHTHAMUDI LAKE AT QUILON,KERALA,2017,7.199999999999999,24398.0,1.9,1.115,250.0,580.0,71.64386792901085,10.3528744,76.5120396
1574,6.25,PARAVUR,KERALA,2017,7.25,23550.0,2.0,1.105,220.0,490.0,72.52435052048921,8.8098891,76.6715303
1575,5.550000000000001,KOCHI (OIL TANKER JETTY),KERALA,2017,7.35,27699.5,2.25,0.735,8655.0,35380.0,275.10889231349086,10.3528744,76.5120396
1576,4.45,THEKKADY,KERALA,2017,7.1,57.5,0.25,1.175,401.0,1401.0,62.10514187467227,9.5804995,77.181142
1577,5.75,KODUNGALLOOR,KERALA,2017,7.35,28552.5,2.2,0.505,47200.0,60235.0,1132.3803989539065,10.2269615,76.19840495
1578,5.5,KAYAMKULAM,KERALA,2017,7.5,26163.0,2.5,0.29,250.0,435.0,86.03881684716924,9.1723603,76.500061
1579,5.8,ALAPPUZHA,KERALA,2017,7.15,9334.0,3.5,0.275,240.0,440.0,83.42652886364424,9.5006651,76.41241428564258
1580,6.0,POOKOTE,KERALA,2017,7.15,29.0,1.3,0.11499999999999999,18.0,58.0,55.915511043415655,10.3528744,76.5120396
2312,6.800000000000001,LAKE VEMBANADU AT PATHIRAMANAL (ALAPPUZHA),KERALA,2017,7.300000000000001,11496.0,1.85,0.175,160.0,280.0,65.27486184200964,10.3528744,76.5120396
2318,7.1,PAZHASSI RESERVOIR (KANNUR),KERALA,2017,7.05,3043.5,1.4500000000000002,0.31499999999999995,282.0,690.0,56.886828387400264,10.3528744,76.5120396
2328,5.6499999999999995,RSVR AT MALAMPUZHA,KERALA,2017,7.55,137.5,4.45,0.495,148.0,181.0,95.39604368327579,10.3528744,76.5120396
2329,7.199999999999999,RSVR AT BHOOTHATHANKETU,KERALA,2017,6.8,31.0,1.25,300.375,3225.0,3952.0,148.27288601923868,10.3528744,76.5120396
2330,7.35,RSVR AT EDAMALAYAR,KERALA,2017,6.95,27.5,1.15,0.13,24501.0,39508.5,595.1693193951122,10.3528744,76.5120396
3470,6.5,VELLAYANI LAKE AT VANDITHADOM,KERALA,2017,6.5,157.5,1.35,0.025,340.0,780.0,49.97487667310081,8.4882267,76.947551
1373,7.9,UPPER LAKE AT BHOPAL (INTAKE POINT),MADHYA PRADESH,2017,8.0,257.5,10.7,1.91,2.0,845.0,144.80498758939882,19.12195775,72.90929420210506
1374,7.449999999999999,LOWER LAKE AT BHOPAL OUTLET M.P.,MADHYA PRADESH,2017,7.8500000000000005,414.0,3.4000000000000004,5.8,130.0,895.0,83.0493823208642,23.8143419,77.5340719
1466,7.65,MULTAI TANK LAKE AT VILLA. KHARI ON BETUL-AMRAVATI ROAD M.P.,MADHYA PRADESH,2017,7.75,304.0,2.0,1.36,2.0,500.0,64.52885892065154,23.8143419,77.5340719
2128,7.5,KHANDARI RESERVOIR WATER OFF TAKE POINT,MADHYA PRADESH,2017,7.75,278.0,1.9,0.61,8.5,31.5,64.31773573853452,23.8143419,77.5340719
2129,7.05,PERIAT TANK JABALPUR,MADHYA PRADESH,2017,7.800000000000001,319.5,1.4,0.635,6.0,34.5,62.88170605692682,23.8143419,77.5340719
2131,6.35,YASHWANT SAGAR AT INDORE,MADHYA PRADESH,2017,8.1,755.5,1.75,1.615,2.0,71.5,74.6779834146126,23.8143419,77.5340719
2132,5.9,BILAWALI TALAB AT INDORE,MADHYA PRADESH,2017,7.85,605.5,2.0,2.835,21.0,90.0,75.24136198469556,23.8143419,77.5340719
2133,5.85,SIRPUR TALAB AT INDORE,MADHYA PRADESH,2017,8.3,487.0,2.8000000000000003,1.395,2.0,56.5,89.76281006937808,23.8143419,77.5340719
2134,7.050000000000001,NAGCHUN TALAB AT KHANDWA,MADHYA PRADESH,2017,8.0,425.5,1.7,1.195,2.0,65.0,69.0116464803113,23.8143419,77.5340719
2135,6.95,GOVINDGARH TANK,MADHYA PRADESH,2017,7.45,261.0,1.5,3.705,9.5,45.5,58.57547883985859,23.8143419,77.5340719
2136,6.55,SHAHPURA LAKE AT WEIR NEAR AYUSHMAN HOSPITAL,MADHYA PRADESH,2017,8.05,601.5,3.45,7.925,121.0,1260.0,91.44857567371237,23.2584857,77.401989
2137,7.95,UPPER LAKE AT YATCH CLUB,MADHYA PRADESH,2017,8.05,270.0,1.85,1.105,2.0,847.0,67.00628927007415,23.8143419,77.5340719
2138,7.85,UPPER LAKE AT KARBALA CLUB,MADHYA PRADESH,2017,8.0,253.5,2.15,0.955,2.0,160.0,69.1030837943724,23.8143419,77.5340719
2139,8.05,UPPER LAKE AT BAIRAGARH CLUB,MADHYA PRADESH,2017,8.2,260.5,2.1,1.03,2.0,845.0,71.33104791633824,23.8143419,77.5340719
2140,7.5,KERWA DAM NEAR REST HOUSE,MADHYA PRADESH,2017,8.05,235.5,1.85,0.2,2.0,122.0,68.90422645570393,23.2664845,77.4130845
2141,7.449999999999999,JANUNIA TALAB NEAR W-S,MADHYA PRADESH,2017,7.9,278.0,2.3,1.015,5.0,220.0,70.71121359063198,23.8143419,77.5340719
3296,7.1,CHORAL DAM NEAR INDORE,MADHYA PRADESH,2017,8.2,458.5,1.45,0.935,2.0,50.0,70.0050583174576,23.8143419,77.5340719
1347,5.9,UMIAM LAKE AT BARAPANI,MEGHALAYA,2017,7.300000000000001,92.5,5.15,0.8300000000000001,2200.0,3800.0,142.2894297223592,25.5379432,91.2999102
1348,7.3,WARD LAKE AT SHILONG EAST,MEGHALAYA,2017,7.25,165.0,5.25,0.65,1405.0,2850.0,117.7640316097544,25.5379432,91.2999102
1459,6.85,THADLASKEIN LAKE,MEGHALAYA,2017,7.2,48.5,2.0,0.23,19.5,47.0,58.938198899012455,25.5379432,91.2999102
3346,5.05,UMIAM LAKE AT OUTFALL OF UMIAM RIVER INTO LAKE,MEGHALAYA,2017,7.6,165.0,7.6,1.875,2500.0,4550.0,180.20885226430406,25.87640255,91.85675741641606
3347,5.6,UMIAM LAKE AT MIDDLE POINT,MEGHALAYA,2017,7.7,124.5,4.85,0.885,2050.0,3600.0,144.669199513079,25.87640255,91.85675741641606
3348,6.199999999999999,UMIAM LAKE ATNEAR UNITED CHRISTIAN COLLEGE,MEGHALAYA,2017,7.45,127.0,4.9,0.79,2000.0,3600.0,136.7696284478007,25.87640255,91.85675741641606
3349,3.9499999999999997,TASEK LAKE AT SONGSAK (NAPHAK),MEGHALAYA,2017,7.1,71.0,1.95,0.35,22.0,46.5,70.78489937427817,25.61849455,90.63421621777748
2437,6.800000000000001,CHILKA LAKE (RAMSAR SITE),ODISHA,2017,7.85,33098.0,1.75,1.04,2701.0,4601.0,136.00049617948295,20.5431241,84.6897321
2438,9.35,ANSHUPA,ODISHA,2017,7.85,238.0,2.25,2.12,12245.0,18050.0,335.19251663318227,20.4574941,85.6048965413869
